000000000000000121000010227,-3.033,1.264,0.935,0,0,2017/12/01 19:15:03,0.125
000000000000000121000010227,-3.03,1.138,0.88,0,0,2017/12/01 19:15:03,0.113
000000000000000121000010227,-3.113,1.197,0.906,0,0,2017/12/01 19:15:03,0.063
000000000000000121000010227,-3.242,1.296,0.879,0,0,2017/12/01 19:15:03,0.022
000000000000000121000010227,-3.067,1.12,0.974,0,0,2017/12/01 19:15:03,0.153
000000000000000121000010227,-3.056,1.108,0.876,0,0,2017/12/01 19:15:03,0.115
000000000000000121000010227,-2.982,1.101,0.862,0,0,2017/12/01 19:15:04,0.144
000000000000000121000010227,-3.072,1.113,0.845,0,0,2017/12/01 19:15:04,0.151
000000000000000121000010227,-3.083,1.185,0.907,0,0,2017/12/01 19:15:04,0.092
000000000000000121000010227,-2.88,1.155,0.793,0,0,2017/12/01 19:15:04,0.027
000000000000000121000010227,-2.957,1.271,0.826,0,0,2017/12/01 19:15:04,0.022
000000000000000121000010227,-3.131,1.204,0.993,0,0,2017/12/01 19:15:04,0.1
000000000000000121000010227,-3.024,1.083,0.874,0,0,2017/12/01 19:15:04,0.126
000000000000000121000010227,-3.119,1.298,0.937,0,0,2017/12/01 19:15:04,0.15
000000000000000121000010227,-3.07,1.18,0.898,0,0,2017/12/01 19:15:04,0.1
000000000000000121000010227,-3.213,1.27,0.96,0,0,2017/12/01 19:15:05,0.045
000000000000000121000010227,-3.199,1.307,0.972,0,0,2017/12/01 19:15:05,0.048
000000000000000121000010227,-2.99,0.976,1.081,0,0,2017/12/01 19:15:05,0.057
000000000000000121000010227,-3.067,1.258,0.711,0,0,2017/12/01 19:15:05,0.002
000000000000000121000010227,-2.962,1.26,0.816,0,0,2017/12/01 19:15:05,0.037
000000000000000121000010227,-2.973,1.214,0.899,0,0,2017/12/01 19:15:05,0.069
000000000000000121000010227,-3.047,1.075,0.911,0,0,2017/12/01 19:15:05,0.138
000000000000000121000010227,-3.22,1.255,0.953,0,0,2017/12/01 19:15:05,0.06
000000000000000121000010227,-3,1.304,0.797,0,0,2017/12/01 19:15:05,0.019
000000000000000121000010227,-3.214,1.333,0.978,0,0,2017/12/01 19:15:06,0.087
000000000000000121000010227,-3.168,1.23,0.959,0,0,2017/12/01 19:15:06,0.046
000000000000000121000010227,-3.188,1.258,0.952,0,0,2017/12/01 19:15:06,0.049
000000000000000121000010227,-2.9,1.429,0.913,0,0,2017/12/01 19:15:06,0.12
000000000000000121000010227,-3.014,1.102,0.835,0,0,2017/12/01 19:15:06,0.148
000000000000000121000010227,-3.062,1.296,0.874,0,0,2017/12/01 19:15:06,0.035
000000000000000121000010227,-2.917,1.229,0.854,0,0,2017/12/01 19:15:06,0.046
000000000000000121000010227,-3.064,1.171,1.025,0,0,2017/12/01 19:15:06,0.163
000000000000000121000010227,-3.07,1.087,0.798,0,0,2017/12/01 19:15:06,0.099
000000000000000121000010227,-2.963,1.191,0.778,0,0,2017/12/01 19:15:07,0.029
000000000000000121000010227,-3.068,1.17,0.908,0,0,2017/12/01 19:15:07,0.092
000000000000000121000010227,-3.13,1.153,0.926,0,0,2017/12/01 19:15:07,0.101
000000000000000121000010227,-3.056,1.095,0.883,0,0,2017/12/01 19:15:07,0.146
000000000000000121000010227,-3.25,1.296,0.973,0,0,2017/12/01 19:15:07,0.065
000000000000000121000010227,-3.053,1.172,0.974,0,0,2017/12/01 19:15:07,0.087
000000000000000121000010227,-3.167,1.335,0.907,0,0,2017/12/01 19:15:07,0.075
000000000000000121000010227,-3.067,1.206,0.972,0,0,2017/12/01 19:15:07,0.099
000000000000000121000010227,-3.136,1.326,0.895,0,0,2017/12/01 19:15:07,0.061
000000000000000121000010227,-3.171,1.314,0.889,0,0,2017/12/01 19:15:08,0.061
000000000000000121000010227,-3.085,1.141,0.936,0,0,2017/12/01 19:15:08,0.166
000000000000000121000010227,-3.04,1.101,0.867,0,0,2017/12/01 19:15:08,0.237
000000000000000121000010227,-2.984,1.24,0.859,0,0,2017/12/01 19:15:08,0.027
000000000000000121000010227,-3.061,1.151,0.942,0,0,2017/12/01 19:15:08,0.131
000000000000000121000010227,-3.123,1.271,0.889,0,0,2017/12/01 19:15:08,0.053
000000000000000121000010227,-3.202,1.179,0.92,0,0,2017/12/01 19:16:36,10:16:36.9539780,0.067
000000000000000121000010222,-2.316,1.034,0.711,0,0,2017/12/01 17:48:01,08:48:01.9972820,0.185
000000000000000121000010223,-2.587,0.83,0.937,0,0,2017/12/01 17:50:33,08:50:33.2132270,0.149
000000000000000121000010226,-2.728,1.05,0.664,0,0,2017/12/01 17:51:04,08:51:04.9624530,0.051
000000000000000121000010227,-3.032,1.15,0.97,0,0,2017/12/01 19:16:48,10:16:48.1980420,0.134
000000000000000121000011023,-2.851,1.005,0.894,0,0,2017/12/01 17:49:29,08:49:29.5459420,0.056
000000000000000121000011103,-2.864,0.964,1.055,0,0,2017/12/01 17:49:48,08:49:48.4662420,0.122
000000000000000121000011108,-2.86,0.916,0.971,0,0,2017/12/01 17:50:03,08:50:03.7000870,0.234
000000000000000121000011109,-2.801,1.036,0.927,0,0,2017/12/01 17:50:15,08:50:15.1578550,0.079
000000000000000121000010227,-3.18,1.311,0.995,0,0,2017/12/01 19:16:48,10:16:48.3061580,0.124
000000000000000121000010227,-3.221,1.156,0.996,0,0,2017/12/01 19:16:48,10:16:48.4142740,0.076
000000000000000121000010227,-3.056,1.154,0.979,0,0,2017/12/01 19:16:48,10:16:48.5223900,0.16
000000000000000121000010227,-3.069,1.143,0.96,0,0,2017/12/01 19:16:48,10:16:48.6305060,0.162
000000000000000121000010227,-3.111,1.3,0.976,0,0,2017/12/01 19:16:48,10:16:48.7386220,0.079
000000000000000121000010227,-3.074,1.3,0.995,0,0,2017/12/01 19:16:48,10:16:48.8467380,0.112
000000000000000121000010227,-3.013,1.309,0.888,0,0,2017/12/01 19:16:48,10:16:48.9548540,0.039
000000000000000121000010227,-3.283,1.352,0.994,0,0,2017/12/01 19:16:49,10:16:49.0629700,0.048
000000000000000121000010227,-3.033,1.109,0.814,0,0,2017/12/01 19:16:49,10:16:49.1710860,0.128
000000000000000121000010227,-3.034,1.14,0.9,0,0,2017/12/01 19:16:49,10:16:49.2792020,0.138
000000000000000121000010227,-3.018,1.318,0.823,0,0,2017/12/01 19:16:49,10:16:49.3873180,0.027
000000000000000121000010227,-3.274,1.258,0.954,0,0,2017/12/01 19:16:49,10:16:49.4857100,0.041
000000000000000121000010227,-3.055,1.148,0.888,0,0,2017/12/01 19:16:49,10:16:49.5938260,0.218
000000000000000121000010227,-3.175,1.283,0.964,0,0,2017/12/01 19:16:49,10:16:49.7019420,0.054
000000000000000121000010227,-3.071,1.384,0.94,0,0,2017/12/01 19:16:49,10:16:49.8100580,0.053
000000000000000121000010227,-3.014,1.034,1.029,0,0,2017/12/01 19:16:49,10:16:49.9181740,0.054
000000000000000121000010227,-2.933,1.144,0.808,0,0,2017/12/01 19:16:50,10:16:50.0262900,0.026
000000000000000121000010227,-3.103,1.217,0.842,0,0,2017/12/01 19:16:50,10:16:50.1344060,0.088
000000000000000121000010227,-3.197,1.148,1.065,0,0,2017/12/01 19:16:50,10:16:50.2425220,0.002
000000000000000121000010227,-3.261,1.269,0.909,0,0,2017/12/01 19:16:50,10:16:50.3506380,0.031
000000000000000121000010227,-3.022,1.085,0.939,0,0,2017/12/01 19:16:50,10:16:50.4587540,0.117
000000000000000121000010227,-3.055,0.92,0.868,0,0,2017/12/01 19:16:50,10:16:50.5668700,0.172
000000000000000121000010227,-3.065,1.147,0.989,0,0,2017/12/01 19:16:50,10:16:50.6749860,0.146
000000000000000121000010227,-2.993,1.038,1.011,0,0,2017/12/01 19:16:50,10:16:50.7831020,0.049
000000000000000121000010227,-3.067,1.161,0.9,0,0,2017/12/01 19:16:50,10:16:50.8912180,0.232
000000000000000121000010227,-3.048,1.098,0.886,0,0,2017/12/01 19:16:50,10:16:50.9993340,0.138
000000000000000121000010227,-3.055,1.143,0.937,0,0,2017/12/01 19:16:51,10:16:51.1074500,0.178
000000000000000121000010227,-2.951,1.155,0.818,0,0,2017/12/01 19:16:51,10:16:51.2155660,0.031
000000000000000121000010227,-3.11,1.158,0.956,0,0,2017/12/01 19:16:51,10:16:51.3236820,0.144
000000000000000121000010227,-3.011,1.066,0.894,0,0,2017/12/01 19:16:51,10:16:51.4317980,0.147
000000000000000121000010227,-3.047,1.123,0.898,0,0,2017/12/01 19:16:51,10:16:51.5399140,0.15
000000000000000121000010227,-2.939,1.226,0.833,0,0,2017/12/01 19:16:51,10:16:51.6480300,0.024
000000000000000121000010227,-3.074,1.142,0.892,0,0,2017/12/01 19:16:51,10:16:51.7561460,0.13
000000000000000121000010227,-2.952,1.275,0.885,0,0,2017/12/01 19:16:51,10:16:51.8767100,0.039
000000000000000121000010227,-3.126,1.155,0.937,0,0,2017/12/01 19:16:51,10:16:51.9577970,0.139
000000000000000121000010227,-3.201,1.226,0.866,0,0,2017/12/01 19:16:52,10:16:52.0929420,0.062
000000000000000121000010227,-3.058,1.141,0.878,0,0,2017/12/01 19:16:52,10:16:52.2010580,0.122
000000000000000121000010227,-2.893,1.301,0.75,0,0,2017/12/01 19:16:52,10:16:52.3091740,0.083
000000000000000121000010227,-3.348,1.272,1.024,0,0,2017/12/01 19:16:52,10:16:52.4172900,0.122
000000000000000121000010227,-3.194,1.328,0.958,0,0,2017/12/01 19:16:52,10:16:52.5254060,0.067
000000000000000121000010227,-3.051,1.155,0.934,0,0,2017/12/01 19:16:52,10:16:52.6335220,0.182
000000000000000121000010227,-3.227,1.247,0.984,0,0,2017/12/01 19:16:52,10:16:52.7416380,0.051
000000000000000121000010227,-3.034,1.114,0.902,0,0,2017/12/01 19:16:52,10:16:52.8497540,0.109
000000000000000121000010227,-3.032,1.164,0.885,0,0,2017/12/01 19:16:52,10:16:52.9578700,0.148
000000000000000121000010227,-3.056,1.14,0.853,0,0,2017/12/01 19:16:53,10:16:53.0659860,0.144
